Akash Khurana,Executive Vice President and Chief Information and Digital Officer,"Houston, TX",Wesco International
Akash Goel,Co-Founder and CEO,"San Francisco, CA",Atica
Akash Sharma,CEO & Founder,"New York, NY",Vellum
Akhil Tolani,CTO & Co-founder,India,CassetteAI
Akhilesh Tripathi,CEO,"San Francisco, CA",Digitate
Akram Atallah,CEO,"Los Angeles, CA",Identity Digital Inc.
Akshay Jain,"Co Founder, CEO","San Francisco, CA",UsefulBi Corporation
Al Kingsley,Group CEO / Chairman,"Peterborough, UK",NetSupport
Alaa Youssef,Managing Director EMEA Emerging,United Arab Emirates,SAS
Alakananda Ray,Managing Director,"Kolkata, West Bengal, India",PwC
Alan Baratz,CEO,"Palo Alto, CA",D-Wave
Alan O'Herlihy,CEO,Ireland,Everseen
Dr. Alan Barnard,CEO,"Las Vegas, NV",Goldratt Research Labs LLC
Alan Stoddard,CEO,"Melville, NY",Intellicene
Alan Dillman,Ringmaster,Florida,Marbaloo Marketing
Alberto Yepez,Co-Founder & Managing Director,"San Francisco, CA",Forgepoint Capital
Alejandro Oses,CEO & Co-founder,"Austin, TX",Rootstack
Alejandro Laplana,Chief Executive Officer,"New York, NY",Shokworks
Aleks Farseev,"CEO, Professor","London, UK",SoMin.ai
Aleksandr Galkin,CEO & Co-founder of Competera,"Boston, MA",Competera
Aleksandr Yampolskiy,Co-Founder and Chief Executive Officer,"New York, NY",SecurityScorecard
Aleksandrs Malins,CEO,"London, UK",FortySeven Software Professionals
Aleksey Lapshin,CEO,Dubai - United Arab Emirates,ANY.RUN
Alex Dean,CEO and Co-Founder,United Kingdom,Snowplow
Alex Polyakov,Founder,Israel,Adversa AI
Alex Dzyuba,Founder & CEO,Florida,Lucid Reality Labs
Alex Li,CEO,"San Francisco, CA",Kubit
Alex Gudilko,CEO,"Los Angeles, CA",AJProTech LLC
Alex Shvarts,CEO of Fundkite,"Miami, FL",FundKite
Alex Lutskiy,CEO and Founder,"New York, NY",Innovecs
Alex Circei,CEO / Co-Founder,"San Francisco, CA",Waydev
Alex Birch,CEO,"Melbourne VIC, Australia",XY Sense
Alex Oakley,Head of Mobile Engineering,"San Francisco, CA",Triumph Labs
Alex Pinaev,CEO,Dubai - United Arab Emirates,Maverix
Alex Koshulko,CEO and Co-Founder,"New York, NY",GMDH Streamline
Alex Zap Chernyak,CEO ZAPTEST - The Leading Software Test Automation + RPA Tool,"Atlanta, GA",ZAPTEST
Alex Rees,Chief Technology Officer,"Portland, OR",T.P.R. Industrial Inc
Alex Waddell,Chief Information Officer,"Phoenix, AZ",Adobe Care and Wellness
Alex Bates,Managing Director,"San Diego, CA",Neocortex Ventures
Alex Dizengof,"Founder, CTO","New York, NY",Carbyne
Alex Tosheff,Chief Security Officer,"San Diego, CA",VMware
Alex Ross,Co-Founder & COO,"New York, NY",Hire Horatio CX
Alex Senemar,Chief Executive Officer,"San Francisco, CA",Voxel
Alex Kilpatrick,CTO & Co-Founder,"Austin, TX",Blink Identity
Alex Levin,Co-Founder & CEO,"New York, NY",Regal.io
Alex Keesling,CEO,"Boston, MA",QuEra Computing Inc
Alex Cardona,COO & Co Founder,United Kingdom,Codat
Alex McCurry,CEO/Founder,"San Juan, Puerto Rico",Solidity.io
Alex Kalinovsky,CEO,"Miami, FL",AgileEngine LLC
Alexander Igelsböck,CEO,"London, UK",Adverity
Alexander Hagerup,CEO,"New York, NY","Vic.ai, Inc"
Alexander Högman,CEO & Founder,"Stockholm, Sweden",Mediatool
Alexander Isaacson,Co-Founder and CEO,"New York, NY",Xeal
Alexander Hill,Chief Global Strategist & Cofounder,"Nashville, TN",Senseye
Alexander Belokrylov,CEO,"San Jose, CA",BellSoft
Alexander El-Meligi,Managing Partner & CEO,"Hamburg, Germany",Demodern
Alexander Weltzsch,"CEO, Co-Founder at Dealcode","Hamburg, Germany",Dealcode GmbH
Alexander Radchenko,CEO,"Zug, Switzerland",Intellectsoft
Alexander Lidow,CEO,"Los Angeles, CA",Efficient Power Conversion (EPC)
Alexander Kvamme,CEO,"Palo Alto, CA",Pathlight
Alexander Rinke,Co-CEO,"New York, NY",Celonis
Alexander Gounares,Founder/CEO,"Kirkland, WA",Polyverse
Alexander Konovalov,Founder & CEO,"Zürich, Switzerland",vidby
Alexander Ratner,CEO and Co-founder,"Redwood City, CA",Snorkel AI
Alexandr Khomich,President & CEO,"Berlin, Germany",Andersen
Alexandra McManus,CEO,"Washington, DC",Eyrus
Alexandre Leclerc,Co-founder & CEO,"Quebec, Canada",Poka Inc.
Alexandre Robicquet,Co-Founder & CEO,"Los Angeles, CA",Crossing Minds
Alexandre de Vigan,Founder & CEO,"Paris, France",Nfinite
Alexei Dulub,Founder & CEO,"Lisbon, Portugal",PixelPlex
Alexey Stoletny,Managing Director,"New York, NY",Sigma Software Group
Alexey Aylarov,Co-founder and CEO,"New York, NY",Voximplant (Zingaya Inc.)
Alexey Khursevich,CEO & Co-founder,"Roseville, CA","SOLVD, Inc."
Alexey Semeney,CEO/Founder,"Los Angeles, CA",DevTeam.Space
Alexis Richardson,CEO/ Founder,"London, UK",Weaveworks
Alexis Normand,Founder and CEO,"New York, NY",Greenly
Alfred Kahn,Founder & CEO,"Boca Raton, FL",OvationCXM
Alfredo Ramirez,President & CEO,"Austin, TX",Vyopta
Ali Baghchehsara,General Partner,"Palo Alto, CA","Plasmos, Inc"
Ali Siddiqui,Chief Product Officer,"Houston, TX",BMC Software
Ali Sadri,Chief Technology Officer,"San Diego, CA",Airgain Inc
Ali Shaikh,Chief Product Officer,"Atlanta, GA",Graphiant
Ali El Kaafarani,CEO and Founder,United Kingdom,PQShield Limited
Aliaksandr Kuushynau,Сhief Wialon Officer (Head of Wialon business),"Vilnius, Vilnius City Municipality, Lithuania",Gurtam
Alicia Roach,FOUNDER & JOINT CEO,"Austin, TX",eQ8
Alidar Utemuratov,CEO and Founder,Asia,DAR
Alina Mikay,CEO / founder,"Miami, FL","AboutMe Apps, Inc."
Allen Hartwig,Head of Product & Engineering,"Spokane, WA",Gated
Almog Apirion,"CEO, Co-Founder","Tel Aviv-Yafo, Israel",Cyolo
Alok Tyagi,CEO,"Dallas, TX",Boast AI
Alok Choudhary,Chief Scientist at Mediaocean,"Chicago, IL",Mediaocean
Alok Kulkarni,Chief Executive Officer,"Melbourne VIC, Australia",Cyara Solutions Corp
Alon Hillel-Tuch,Managing Partner,"New York, NY",Stacked Capital
Alon Jackson,CEO & Co-Founder,"New York, NY",Astrix Security
Alon Goren,CEO and Founder,"Atlanta, GA",AnswerRocket
Altaz Valani,Founder,"Toronto, ON, Canada",DevSecOpsMentor.com
Alwar Pillai,CEO and Co-Founder,"Toronto, Canada",Fable
Amanda Dorenberg,President,"Toronto, Canada",COMMB
Amanda Richardson,CEO,"San Francisco, CA",CoderPad
Amanda Zhu,Co-founder,"San Francisco, CA",Recall.ai
Amandeep Midha,Senior Software Engineer,"Bengaluru, Karnataka, India",Hybrid Greentech Energy Storage Intelligence
Amarandhar Kotha,Managing Director,Australia,Datacipher Solutions Pvt Ltd
Amber Allen,Founder/Owner/CEO,"Austin, TX",Double A Labs
Ameesh Divatia,Co-Founder and CEO,"Santa Clara, CA","Baffle, Inc."
Ami Bhatt,Chief Innovation Officer,"Boston, MA",American College of Cardiology
Amir Ashkenazi,Founder & CEO,"San Francisco, CA",Switchboard
Amir Bassan-Eskenazi,"CEO, Co-founder","San Francisco, CA",CommonGround
Amir Kotler,CEO and CO-Founder,"Tel Aviv-Yafo, Israel",Veego Software
Amir Taichman,"Founder, CEO","San Jose, CA",UnitySCM
Amir Khan,Founder & CEO,California,"Alkira, Inc."
Amir Emadi,CEO,"Los Angeles, CA","Toofon, Inc."
Amir Hever,CEO & Co-Founder,New Jersey,UVeye
Amir Hayeri,CEO,"Redwood City, CA",Bio Conscious Tech. INC - Products Endobits + Diabits
Amit Shaked,CEO & Co-founder,"Tel Aviv-Yafo, Israel",Laminar
Amit Ben,"Founder, CEO","Ezor Tel Aviv, Israel",One AI.
Amit Sinha,Chief Technology Officer - SMB and Scale,"Leicester, UK",Microsoft
Amit Narang,Founder and CEO,United Arab Emirates,ICC
Amit Sharma,CEO,"Chapel Hill, NC",CData Software Inc.
Amit Gupta,Head of Center of Excellence for AI and Automation,"New York, NY","Milestone Technologies, Inc."
Amit Garg,CEO & Co-Founder,"Bethesda, MD",HiLabs
Amit Verma,Head Of Engineering,"San Francisco, CA",Neuron7.ai
Amit Samsukha,Director,"Jaipur, Rajasthan, India",Emizen Tech
Amit Eyal Govrin,CEO,"Palo Alto, CA",Kubiya.ai
Amitabha Karmakar,Senior Manager,"New York, NY",Amazon Web Services
Amitkumar Shrivastava,"Head of AI at Fujitsu India, Fujitsu Fellow & Global Fujitsu Distinguished Engineer","Pune, Maharashtra, India",Fujitsu
Amiya Adwitiya,Founder and CEO,"San Francisco, CA",Squadcast Inc
Amol Kale,Chief Technology Officer,"New York, NY",BRE Hotels & Resorts
Amrish Singh,Founder & CEO,"San Francisco, CA",Liberate Innovations Inc.
Amrit Jassal,Chief Technology Officer and Co-founder,"San Francisco, CA",Egnyte
Amy Bunszel,"Executive Vice President, Architecture, Engineering and Construction Design","San Francisco, CA",autodesk.com
Amyn Gillani,Executive Regional Vice President -IT-Innovation,"Houston, TX",McKesson
Ana Codallo,keyopinionleaders.com,"New York, NY",keyopinionleaders.com
Anand Janefalkar,Founder & CEO,"San Francisco, CA",UJET
Anand Sivaraman Subramaniam,CHIEF SOLUTIONS OFFICER,"Chennai, Tamil Nadu, India",KANINI
Anand Logani,CDO,"New York, NY",EXL
Anand Ramanathan,Chief Product Officer,"San Francisco, CA",Skyhigh Security
Anand Mahurkar,Founder and Chief Executive Officer,"Chelmsford, MA",Findability Sciences
Anand Chockalingam,Managing Director,"New York, NY",SAS Insititute Inc.
Anand Oswal,"Senior Vice President, Network Security",California,Palo Alto Networks
Anandh Asokan,Vice President,"Minneapolis, MN",Thrivent
Anantha Ganga,Chief Information Officer,"Santa Clara, CA",Coherent Corp.
Anastasia Volkova,CEO/Co-founder,"Los Angeles, CA",Regrow Ag
Anastasija Oleinika,CEO,"Riga, Latvia",Printify
Anderee Berengian,Cie Digital Labs,"Los Angeles, CA",Cie Digital Labs
Anders Lillevik,CEO,"Atlanta, GA",Focal Point
Andre Sublett,VP of Data and Analytics,"Seattle, WA",Concord Technologies
Andre Reitenbach,CEO,Europe,G-Core
Andre Yee,Chief Executive Officer,"Washington, DC",Triblio
Andre Christ,CEO & Co-Founder,"Boston, MA",LeanIX
Andrea Facini,Chief Product and Growth Officer,"Dallas, TX",WebPT
Andrea Riposati,CEO and Cofounder,"New York, NY",Dante Genomics
Andreas Eschbach,CEO and Founder of eschbach,"Boston, MA",eschbach GmbH and North America Inc.
Andreas Hassellöf,CEO,"Stockholm, Sweden",Ombori
Andreas Pettersson,CEO,"Irvine, CA",Arcules
Andreas Bubenzer-Paim,"Managing Director, Head of Technology Banking","San Francisco, CA",Bank of the West
Andrei Kasyanau,CEO,"Jersey City, NJ",Glorium Technologies
Andres Angelani,Chief Digital Transformation Officer,"New York, NY",Speedcast
Andres Zunino,CEO,"Montevideo, Montevideo Department, Uruguay",ZirconTech
Andrew Gazdecki,Founder,"San Mateo, CA",MicroAcquire
Andrew Blackman,Founder and CEO,"New York, NY",EZ Cloud
Andrew Brust,Founder & Chief Executive Officer,"New York, NY",Blue Badge Insights
Andrew Cowart,CTO,"Nashville, TN",Metova
Andrew Zhou,Co-founder/CTO,"New York, NY",Kona
Andrew Hollister,CISO and VP Labs R&D,"London, UK",LogRhythm
Andrew Barlow,Co-Founder & CEO,"Manchester, UK",Chatloop
Andrew Murray,CTO,"Seattle, WA",Olo
Andrew Kucheriavy,CEO (Also CTO),"Chicago, IL",Intechnic
Andrew Colby,Vice President AIOps,"Rockville, MD","Vitria Technology, Inc."
Andrew Lau,CEO,"Boston, MA",Jellyfish
Andrew Duncan,CEO and Managing Partner,"London, UK",Infosys Consulting
Andrew Kahl,CEO,"Dallas, TX",BackBox
Andrew Zeswitz,Chief Technology Officer,"Fairfax, VA",REI Systems
Andrew Sever,Founder & CEO,"Tel Aviv-Yafo, Israel",Sumsub
Andrew Zeck,CTO,"Los Angeles, CA",Saucey
Andrew Sullivan,President & CEO,"Toronto, ON, Canada",Internet Society
Andrew Forbes,CRM Project Manager and Solution Architect,"Hillsboro, VA 20132",CRM Project Manager and Solution Architect
Andrii Korolov,Founder,"Austin, TX",MavenEcommerce Inc.
Andrés Irlando,President at Zayo Group,"Atlanta, GA",Zayo Group
Andy Purdy,Chief Security Officer,"Washington, DC",Huawei Technologies Co. Ltd
Andy Dalton,CIO,"Indianapolis, IN","CREA, LLC"
Andy Boyd,Chief Product Officer,"Bokeelia, FL 33922",Appfire
Andy Kaiser,CEO & Co-Founder,"Berlin, Germany",Ninetailed
Andy Chu,Senior Vice President Product & Technology Incubation,Washington State,Providence Digital Innovation Group
Andy Patel,CTO,"Columbia, SC",HillSouth
Andy Barratt,"Vice President, Technology & Enterprise","Manchester, UK",Coalfire
Angam Parashar,CEO,"Seattle, WA","ParallelDots, Inc."
Angela Kyerematen-Jimoh,"National Digital Transformation Lead, Africa","Casablanca, Morocco",Microsoft
Angelic Gibson,Chief Information Officer,"Charlotte, NC","AvidXchange, Inc."
Angelo Stracquatanio,CEO & Co-founder,"Jersey City, NJ",Apprentice
Angie Franks,CEO,"St Paul, MN",ABOUT
Angus Ward,CEO,Portugal,Beyond Now
Anil Somani,Chief Transformation Officer,"San Jose, CA",Altimetrik
Anil Gupta,CEO & Co-Founder,"Austin, TX",Multidots
Anil Mathews,CEO,"Los Angeles, CA",Near
Anila Siraj,Alternative Fuels Strategist,"New York, NY",Independent Consultant
Anirudh Singla,Co-founder and CEO,"San Francisco, CA",Pepper Content
Anirudh Kala,"Ceo , co-founder",India,Celebal Technologies
Anis Jaffer,Chief Product Officer,"New York, NY","Numeracle, Inc."
Anita Ali,"SVP, Digital Product Manager Director","Raleigh, NC",Wells Fargo
Anjali Chhabra Nandwani,Global Competency Head - ADMSNXT & Quality Engineering Services,"Frisco, TX",Tech Mahindra Americas Inc.
Anju Chaudhary,CEO,"Chicago, IL",Sawanah Inc.
Anjul Bhambhri,"Vice President, Platform Engineering","San Jose, CA",Adobe
Ankit Saxena,Founder and CEO,"Mountain View, CA",Thena
Ankor Rai,Chief Digital Officer,"New York, NY",EXL Service
Ankur Mishra,Director of Engineering,Singapore,Ethos Life
Ankur Sinha,Chief Technology Officer,"Seattle, WA",Remitly
Ankush Sabharwal,Founder & CEO,"Bengaluru, Karnataka, India",CoRover
Ann Barnes,Chief Executive Officer,"Chicago, IL",Intelligent Medical Objects
Ann Westerheim,Founder and President,"Westford, MA 01886",Ekaru
Ann Marie Sastry,CEO & Founder,"Detroit, MI",Amesite
Anna Buldakova,CEO,"London, UK",Vektor AI
Anna Frazzetto,Global Chief Revenue Officer,"Houston, TX",Airswift
Anne Lise Waal,Co-founder & CPO at Aiba.ai,"Oslo, Norway",Aiba
Anne-Lise Sharbatian,Co-Founder,"Los Angeles, CA",Tempo
Annette Klososky,Founding Partner,"Oklahoma City, OK",Future Point of View
Annie Chandler Wang,"Co-founder, Chief Product Officer, Creative Director","Miami, FL",Her Campus Media
Anshu Bansal,Co-Founder & CEO,"Palo Alto, CA",CloudDefense.AI
Anshul Sheopuri,"Senior Vice President, People Analytics & Insights","Jersey City, NJ",Mastercard
Anthony Capone,CEO,"New York, NY",DocGo
Anthony Deighton,Chief Product Officer,"Cambridge, MA",Tamr
Anthony Hughes,Co-Founder & CEO,"Cleveland, OH",Tech Elevator
Anthony Christian,Co-Founder & CIO,"San Francisco, CA",Typedream
Anthony Mironov,"CEO, Founder","New York, NY",Wingspan
Anthony Brooke,Chief Technology and Innovation Officer,"Rockville, MD","DrFirst, Inc."
Anthony Lancaster,Co-Founder / Managing Partner,"San Diego, CA",Professional Robots
Antoine Galand,"Director, Engineering","San Francisco, CA",GraphWear Technologies Inc.
Anton Abyzov,"Founder & CEO of EasyChamp, CTO at Softgreat","Houston, TX",Softgreat
Antonela Zubak,Chief Information Officer,"New York, NY",viahub
Antonio Marin,Chief Information Officer,"Houston, TX",US Med-Equip
Antti Nivala,Founder and CEO,"Austin, TX",M-Files
Anu Jekal,Co-Founder/CEO,"Folsom, CA",Data Surge LLC
Anudeep Parhar,Chief Operating Officer,"Minneapolis, MN",Entrust
Anudeep Bhatia,Chief Executive Officer,"San Francisco, CA","Nsight, Inc."
Anuj Kapuria,Founder & CEO,India,The Hitech Robotic Systemz Ltd
Anupriya Ramraj,"Partner, Cloud & Digital",California,PriceWaterhouse Coopers
Anurag Malik,President & Chief Technology Officer,"Los Gatos, CA",ContractPodAi®
Anurag Gupta,Founder/CEO,"San Francisco, CA",Shoreline.io
Anwesha Jalan,"VP, Growth and Product Management","San Francisco, CA",Strava
Aparna Khurjekar,"CRO, Business Markets & SaaS, Verizon Business","New York, NY",Verizon
Apu Pavithran,Founder and CEO,"Los Angeles, CA",Hexnode
Apurva Kadakia,Chief Customer Officer,"New York, NY",Hanu
Arash Aghlara,Founder and CEO,"Melbourne VIC, Australia",FlexRule
Arash Asli,CEO,"Vancouver, Canada",Yocale
Archie Agarwal,Founder & CEO | Chief Technical Architect,"Jersey City, NJ","ThreatModeler Software, Inc."
Ari Kahn,President and CEO,New York State,Bridgeline Digital
Ari Banerjee,"Senior Vice President, Strategy",Massachusetts,Netcracker Technology
Ari Jacoby,CEO + co-founder,"New York, NY",Deduce
Ariel Katz,CEO and Co-Founder,"New York, NY",H1
Arjun Ramamurthy,Global CTO,"Los Angeles, CA",Ateliere Creative Technologies
Arjun Bhatnagar,CEO,"New York, NY",Cloaked
